Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\StreamInterceptor.java,3,26,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.listeners,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\LoggingListener.java,3,39,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.listeners,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\SummaryGeneratingListener.java,3,109,"The method 'executionFinished(TestIdentifier, TestExecutionResult)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
1,org.junit.platform.launcher.tagexpression,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\tagexpression\ParseStatus.java,3,20,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.tagexpression,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\tagexpression\ShuntingYard.java,3,33,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.reporting.legacy.xml,dataset\projects\junit5\junit-platform-reporting\src\main\java\org\junit\platform\reporting\legacy\xml\XmlReportWriter.java,3,11,A value of 28 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.platform.reporting.legacy.xml,dataset\projects\junit5\junit-platform-reporting\src\main\java\org\junit\platform\reporting\legacy\xml\XmlReportWriter.java,3,123,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.reporting.open.xml,dataset\projects\junit5\junit-platform-reporting\src\main\java\org\junit\platform\reporting\open\xml\OpenTestReportGeneratingListener.java,3,11,A value of 22 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.platform.reporting.open.xml,dataset\projects\junit5\junit-platform-reporting\src\main\java\org\junit\platform\reporting\open\xml\OpenTestReportGeneratingListener.java,3,105,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.suite.engine,dataset\projects\junit5\junit-platform-suite-engine\src\main\java\org\junit\platform\suite\engine\SuiteLauncherDiscoveryRequestBuilder.java,3,79,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.suite.engine,dataset\projects\junit5\junit-platform-suite-engine\src\main\java\org\junit\platform\suite\engine\SuiteTestDescriptor.java,3,11,A value of 24 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
